tk,Œ¿–«±‡∫≈,X,Y,Z,÷”≤Ó,Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
5,PC21,169.397709,21946.46185,17269.94109,-961.949501,C,21,286,169400.741,21946460.9,17269940.2,-0.000961888
5,PC22,-13811.772,24222.12985,1451.632093,-104.696832,C,22,286,-13811768.2,24222130.5,1451632,-0.000104631
5,PC23,6344.868363,-18507.32278,-19906.3683,-780.292528,C,23,286,6344865.94,-18507322.7,-19906367.4,-0.000780211
5,PC24,18572.11789,17749.2548,-10890.40785,897.242682,C,24,286,18572119.3,17749251.7,-10890407.2,0.000897293
5,PC25,17313.64879,-1456.088659,-21848.06235,329.494064,C,25,286,17313647.8,-1456090.62,-21848061.6,0.000329533
5,PC26,9703.182166,25473.3295,5869.169608,-251.204606,C,26,286,9703185.01,25473327.3,5869169.41,-0.000251171
5,PC27,-8050.121453,-15507.55777,21737.38666,273.11385,C,27,286,-8050122.83,-15507556.1,21737385.8,0.000273147
5,PC28,11214.92351,-14383.00539,21127.65503,207.827321,C,28,286,11214921.2,-14383006.3,21127654.2,0.000207858
5,PC29,-26658.01065,4797.171874,-6707.175692,243.612579,C,29,286,-26658008.9,4797174.77,-6707175.14,0.000243652
5,PC30,-24174.99689,-7950.587635,11414.12381,-26.958734,C,30,286,-24174996.7,-7950584.37,11414123.6,-2.69E-05
5,PC32,-272.427793,-21971.77156,-17174.82592,-569.767457,C,32,286,-272430.35,-21971770.5,-17174825.2,-0.000569742
5,PC33,19704.6498,-12214.84859,15527.3268,-949.918173,C,33,286,19704647.7,-12214850.5,15527326,-0.00094997
5,PC34,25059.43073,7076.532053,-10081.79066,372.319678,C,34,286,25059430.4,7076528.76,-10081790.7,0.000372347
5,PC35,-10743.59689,14850.32187,-21042.85195,430.365776,C,35,286,-10743595.1,14850322.5,-21042850.9,0.0004304
5,PC36,-17538.82226,504.334749,21715.33498,-10.076577,C,36,286,-17538821.2,504336.791,21715334.4,-1.01E-05
5,PC37,-8811.032827,-25732.08819,-6302.693065,-937.305741,C,37,286,-8811035.46,-25732086.1,-6302692.76,-0.000937298
5,PC38,-7784.429338,33742.54508,-23902.42083,137.644544,C,38,286,-7784424.96,33742544.9,-23902419.6,0.000137683
5,PC39,-15641.83908,19823.82946,33787.4491,-7.228013,C,39,286,-15641836.1,19823830.4,33787447.9,-7.17E-06
5,PC40,-24975.62582,31689.15795,-12704.93431,-57.142601,C,40,286,-24975620.9,31689160,-12704933.4,-5.71E-05
5,PC41,14219.0522,-23995.59438,-554.415625,-892.851786,C,41,286,14219049,-23995595.3,-554415.706,-0.000892863
5,PC42,13823.34604,7463.120237,23110.51352,-453.220857,C,42,286,13823346.8,7463118.36,23110512.7,-0.000453245
5,PC43,26985.45043,-4188.698084,5801.022344,60.935955,C,43,286,26985448.9,-4188701.27,5801021.74,6.10E-05
5,PC44,8487.188693,15372.74738,-21709.43379,388.646624,C,44,286,8487189.98,15372745.6,-21709433,0.000388682
5,PC45,-6140.962494,18578.29949,19877.22259,-71.021804,C,45,286,-6140959.51,18578299.4,19877221.9,-7.09E-05
5,PC46,-18680.82739,-17164.7582,11657.84414,-125.015221,C,46,286,-18680828.4,-17164755.3,11657843.8,-0.000124942
10,PC06,-6701.533188,23757.77471,34239.0199,119.176141,C,6,586,-6701529.37,23757775,34239019,0.000119251
10,PC07,-17114.69653,36373.34397,-12962.58478,-823.960723,C,7,586,-17114693.3,36373344.7,-12962584.2,-0.000823876
10,PC08,-2160.567634,37590.09767,-18746.70247,27.492894,C,8,586,-2160564.25,37590096.6,-18746702.6,2.76E-05
10,PC09,2901.261264,26654.14183,33114.90556,-509.07008,C,9,586,2901265.21,26654140.3,33114905.3,-0.000508978
10,PC10,-10934.10525,36509.49302,-18274.04665,79.306209,C,10,586,-10934102.3,36509493.3,-18274046,7.94E-05
10,PC11,27654.09064,2775.898316,-2419.767174,417.786884,C,11,586,27654089.5,2775896.28,-2419769.65,0.000417861
10,PC12,16534.34672,12785.27086,-18453.36627,766.608299,C,12,586,16534344.1,12785269.9,-18453369,0.000766672
10,PC13,3675.897625,40413.15244,-10718.1735,418.515666,C,13,586,3675901.86,40413150.7,-10718173.9,0.000418563
10,PC14,17870.99174,-1842.165602,21354.89905,221.40432,C,14,586,17870990.9,-1842169.16,21354897.7,0.000221465
10,PC16,-9310.910551,22369.15513,34768.39232,-347.961208,C,16,586,-9310906.68,22369155.3,34768391.8,-0.000347893
10,PC19,-19503.1109,11772.92179,-16106.1978,-925.612209,C,19,586,-19503108.5,11772923.5,-16106197.3,-0.000925553
10,PC20,-14307.7062,-6406.15001,-23073.23482,-176.378127,C,20,586,-14307706.1,-6406148.25,-23073233.8,-0.000176316
10,PC21,-143.675471,22434.3193,16631.53773,-961.94932,C,21,586,-143672.41,22434318.4,16631536.9,-0.000961888
10,PC22,-13849.73889,24238.44929,513.831689,-104.692651,C,22,586,-13849735.1,24238449.9,513831.586,-0.000104626
10,PC23,6701.505622,-17916.01019,-20325.98097,-780.291798,C,23,586,6701503.29,-17916010.1,-20325980.1,-0.00078021
10,PC24,18704.61411,18086.5669,-10075.93311,897.253154,C,24,586,18704615.6,18086563.8,-10075932.5,0.000897303
10,PC25,17677.8955,-806.569266,-21587.73477,329.496836,C,25,586,17677894.6,-806571.228,-21587734.1,0.000329536
10,PC26,9548.848318,25311.62164,6753.082441,-251.20626,C,26,586,9548851.11,25311619.5,6753082.28,-0.000251173
10,PC27,-7298.941925,-15499.98728,22006.46294,273.115462,C,27,586,-7298943.24,-15499985.7,22006462.1,0.000273149
10,PC28,11931.88035,-14349.06328,20754.71484,207.828614,C,28,586,11931878.1,-14349064.2,20754714,0.00020786
10,PC29,-26873.13409,4760.501505,-5814.823336,243.614083,C,29,586,-26873132.3,4760504.39,-5814822.74,0.000243653
10,PC30,-23769.96619,-7992.002604,12208.40403,-26.960172,C,30,586,-23769966,-7991999.41,12208403.8,-2.69E-05
10,PC32,37.439662,-22460.63427,-16532.92944,-569.769187,C,32,586,37437.0714,-22460633.3,-16532928.7,-0.000569744
10,PC33,19443.90642,-11737.63561,16209.89881,-949.919118,C,33,586,19443904.4,-11737637.4,16209898,-0.000949971
10,PC34,24700.77013,7118.380368,-10904.0998,372.322123,C,34,586,24700769.8,7118377.16,-10904099.8,0.000372349
10,PC35,-11458.5525,14841.26112,-20667.41962,430.363103,C,35,586,-11458550.8,14841261.8,-20667418.5,0.000430397
10,PC36,-17885.18834,-149.29585,21436.52506,-10.07252,C,36,586,-17885187.4,-149293.83,21436524.4,-1.01E-05
10,PC37,-8655.144417,-25554.20374,-7180.277092,-937.306565,C,37,586,-8655146.99,-25554201.7,-7180276.81,-0.000937299
10,PC38,-7553.856286,33385.00976,-24472.1878,137.645259,C,38,586,-7553851.97,33385009.6,-24472186.6,0.000137683
10,PC39,-16035.82026,19804.10334,33610.26739,-7.228051,C,39,586,-16035817.3,19804104.4,33610266.2,-7.17E-06
10,PC40,-24834.031,32078.23746,-11989.44329,-57.143131,C,40,586,-24834026,32078239.5,-11989442.3,-5.71E-05
10,PC41,14244.44193,-23986.09719,383.912136,-892.853422,C,41,586,14244438.7,-23986098.1,383912.083,-0.000892865
10,PC42,13419.65279,8140.761617,23120.50176,-453.219852,C,42,586,13419653.6,8140759.85,23120501,-0.000453244
10,PC43,27169.82458,-4147.329667,4902.808439,60.936359,C,43,586,27169823.1,-4147332.83,4902807.79,6.10E-05
10,PC44,7739.404354,15394.9118,-21970.80351,388.650054,C,44,586,7739405.61,15394910.2,-21970802.7,0.000388686
10,PC45,-6494.808555,17985.30052,20305.96842,-71.022517,C,45,586,-6494805.68,17985300.5,20305967.7,-7.09E-05
10,PC46,-18830.93529,-17523.25085,10857.52896,-125.01618,C,46,586,-18830936.3,-17523248,10857528.6,-0.000124943
15,PC06,-7058.215696,23619.69499,34258.58157,119.183619,C,6,886,-7058211.93,23619695.4,34258580.7,0.000119258
15,PC07,-16974.17015,36662.49958,-12324.36425,-823.979209,C,7,886,-16974166.9,36662500.3,-12324363.6,-0.000823895
15,PC08,-1823.250049,37255.80484,-19439.80358,27.484047,C,8,886,-1823246.72,37255803.7,-19439803.7,2.76E-05
15,PC09,2613.120806,26410.43246,33327.20906,-509.085733,C,9,886,2613124.67,26410431,33327208.9,-0.000508993
15,PC10,-10847.83341,36825.53379,-17701.34284,79.301576,C,10,886,-10847830.4,36825534,-17701342.1,7.94E-05
15,PC11,27552.27847,2789.326839,-3357.193856,417.792955,C,11,886,27552277.2,2789324.9,-3357196.38,0.000417867
15,PC12,15890.51584,12784.05718,-19010.06624,766.605613,C,12,886,15890513,12784056.3,-19010068.8,0.000766669
15,PC13,4044.384012,40167.87408,-11472.88421,418.516722,C,13,886,4044388.19,40167872.3,-11472884.6,0.000418563
15,PC14,17515.37901,-1196.781335,21694.5987,221.429775,C,14,886,17515378.3,-1196784.74,21694597.4,0.00022149
15,PC16,-9682.291469,22257.14423,34733.58458,-347.96788,C,16,886,-9682287.65,22257144.4,34733584.1,-0.000347899
15,PC19,-19237.76569,11274.69106,-16766.38961,-925.611176,C,19,886,-19237763.4,11274692.6,-16766389.1,-0.000925552
15,PC20,-13914.95327,-7093.919394,-23111.32842,-176.389245,C,20,886,-13914953.2,-7093917.72,-23111327.4,-0.000176328
15,PC21,-435.516316,22909.19961,15965.74259,-961.949157,C,21,886,-435513.228,22909198.8,15965741.7,-0.000961888
15,PC22,-13871.38293,24227.72009,-424.815906,-104.688452,C,22,886,-13871379.1,24227720.7,-424816.026,-0.000104622
15,PC23,7076.279294,-17319.71912,-20712.06241,-780.291062,C,23,886,7076277.06,-17319719.1,-20712061.5,-0.000780209
15,PC24,18829.3419,18397.03426,-9244.81677,897.263624,C,24,886,18829343.4,18397031.2,-9244816.1,0.000897314
15,PC25,18049.53983,-172.206854,-21291.80582,329.499596,C,25,886,18049539,-172208.815,-21291805.1,0.000329539
15,PC26,9375.709627,25127.30086,7625.818712,-251.207886,C,26,886,9375712.36,25127298.7,7625818.59,-0.000251175
15,PC27,-6539.179777,-15507.2643,22239.1512,273.117069,C,27,886,-6539181.03,-15507262.8,22239150.4,0.00027315
15,PC28,12636.03623,-14329.41042,20347.53575,207.829913,C,28,886,12636034,-14329411.4,20347534.9,0.000207861
15,PC29,-27058.27829,4727.006452,-4912.869278,243.615613,C,29,886,-27058276.6,4727009.32,-4912868.65,0.000243655
15,PC30,-23339.0157,-8042.318999,12982.49831,-26.961612,C,30,886,-23339015.4,-8042315.89,12982498.1,-2.69E-05
15,PC32,326.161685,-22936.20016,-15863.69275,-569.770944,C,32,886,326159.065,-22936199.2,-15863692,-0.000569745
15,PC33,19181.79674,-11235.21893,16865.70524,-949.920039,C,33,886,19181794.8,-11235220.7,16865704.4,-0.000949972
15,PC34,24315.23283,7168.18818,-11708.44065,372.32458,C,34,886,24315232.5,7168185.05,-11708440.7,0.000372352
15,PC35,-12160.17605,14845.79882,-20257.87134,430.360431,C,35,886,-12160174.4,14845799.6,-20257870.2,0.000430395
15,PC36,-18238.89535,-787.434331,21122.37918,-10.068489,C,36,886,-18238894.5,-787432.329,21122378.6,-1.01E-05
15,PC37,-8480.849032,-25353.64485,-8046.023772,-937.307422,C,37,886,-8480851.55,-25353642.8,-8046023.52,-0.0009373
15,PC38,-7339.122257,33017.6328,-25030.17045,137.645976,C,38,886,-7339118.01,33017632.6,-25030169.3,0.000137684
15,PC39,-16430.29522,19801.63869,33417.01704,-7.228093,C,39,886,-16430292.3,19801639.7,33417015.8,-7.17E-06
15,PC40,-24675.66665,32460.90383,-11268.27042,-57.143642,C,40,886,-24675661.7,32460905.8,-11268269.4,-5.71E-05
15,PC41,14254.13,-23949.21855,1321.60598,-892.855039,C,41,886,14254126.9,-23949219.5,1321605.96,-0.000892867
15,PC42,13030.15062,8826.273309,23092.48883,-453.218838,C,42,886,13030151.5,8826271.65,23092488,-0.000453243
15,PC43,27324.1592,-4108.519207,3996.511199,60.936792,C,43,886,27324157.7,-4108522.35,3996510.5,6.10E-05
15,PC44,6983.866629,15431.96895,-22195.97048,388.653494,C,44,886,6983867.84,15431967.4,-22195969.7,0.000388689
15,PC45,-6867.090758,17387.06612,20701.14802,-71.023172,C,45,886,-6867087.99,17387066.1,20701147.4,-7.09E-05
15,PC46,-18974.11452,-17854.82886,10039.31737,-125.017129,C,46,886,-18974115.6,-17854826,10039317,-0.000124944
20,PC06,-7420.60585,23497.38302,34261.79726,119.191024,C,6,1186,-7420602.14,23497383.5,34261796.3,0.000119266
20,PC07,-16821.17226,36945.32617,-11680.2769,-823.997652,C,7,1186,-16821169,36945326.9,-11680276.2,-0.000823913
20,PC08,-1500.873654,36906.94821,-20123.53333,27.475132,C,8,1186,-1500870.39,36906947,-20123533.4,2.76E-05
20,PC09,2314.643449,26179.94584,33524.05139,-509.101143,C,9,1186,2314647.23,26179944.4,33524051.2,-0.000509008
20,PC10,-10747.85874,37137.63733,-17120.23362,79.296892,C,10,1186,-10747855.7,37137637.6,-17120232.9,7.93E-05
20,PC11,27418.74296,2804.629293,-4289.071679,417.798975,C,11,1186,27418741.6,2804627.45,-4289074.23,0.000417873
20,PC12,15228.23085,12796.37924,-19535.30117,766.602938,C,12,1186,15228227.9,12796378.4,-19535303.7,0.000766666
20,PC13,4401.756318,39906.44503,-12222.02742,418.517719,C,13,1186,4401760.45,39906443.1,-12222027.9,0.000418564
20,PC14,17167.85506,-534.6107,21998.49953,221.455196,C,14,1186,17167854.4,-534613.957,21998498.3,0.000221516
20,PC16,-10058.28153,22161.64392,34682.40031,-347.974564,C,16,1186,-10058277.8,22161644.2,34682399.8,-0.000347905
20,PC19,-18972.19122,10751.61327,-17398.88244,-925.61016,C,19,1186,-18972189,10751614.7,-17398882,-0.000925551
20,PC20,-13536.14754,-7790.24156,-23111.22837,-176.400338,C,20,1186,-13536147.6,-7790239.98,-23111227.3,-0.000176339
20,PC21,-706.384072,23369.62395,15273.65182,-961.948993,C,21,1186,-706380.958,23369623.2,15273650.9,-0.000961888
20,PC22,-13877.8771,24189.26592,-1362.763502,-104.684265,C,22,1186,-13877873.4,24189266.5,-1362763.64,-0.000104618
20,PC23,7468.935839,-16719.93606,-21063.9758,-780.290345,C,23,1186,7468933.71,-16719936.1,-21063974.9,-0.000780209
20,PC24,18944.97704,18680.65844,-8398.429959,897.2741,C,24,1186,18944978.5,18680655.4,-8398429.26,0.000897324
20,PC25,18427.45862,445.956879,-20960.76112,329.502415,C,25,1186,18427457.9,445954.916,-20960760.4,0.000329542
20,PC26,9183.002698,24921.42192,8485.933519,-251.209505,C,26,1186,9183005.37,24921419.8,8485933.42,-0.000251177
20,PC27,-5772.384931,-15529.72247,22435.06745,273.118677,C,27,1186,-5772386.13,-15529721.1,22435066.6,0.000273152
20,PC28,13325.95342,-14323.47802,19906.78918,207.83122,C,28,1186,13325951.3,-14323479.1,19906788.4,0.000207862
20,PC29,-27213.11419,4695.406743,-4002.802719,243.617157,C,29,1186,-27213112.5,4695409.59,-4002802.05,0.000243656
20,PC30,-22883.06514,-8102.592114,13735.12717,-26.963013,C,30,1186,-22883064.8,-8102589.09,13735127,-2.69E-05
20,PC32,594.013212,-23396.99163,-15168.22289,-569.772718,C,32,1186,594010.566,-23396990.8,-15168222.1,-0.000569747
20,PC33,18919.72065,-10708.15967,17493.66487,-949.920977,C,33,1186,18919718.7,-10708161.4,17493664.1,-0.000949972
20,PC34,23903.64255,7227.055523,-12493.48805,372.327061,C,34,1186,23903642.2,7227052.48,-12493488.1,0.000372354
20,PC35,-12847.06136,14863.3127,-19814.87931,430.357776,C,35,1186,-12847059.7,14863313.5,-19814878.1,0.000430392
20,PC36,-18598.82886,-1409.037326,20773.4153,-10.064423,C,36,1186,-18598828.1,-1409035.34,20773414.7,-1.01E-05
20,PC37,-8287.381187,-25131.46752,-8898.505576,-937.308241,C,37,1186,-8287383.64,-25131465.5,-8898505.34,-0.000937301
20,PC38,-7140.643245,32641.11794,-25576.1004,137.646699,C,38,1186,-7140639.06,32641117.7,-25576099.3,0.000137685
20,PC39,-16824.50714,19816.43857,33207.78712,-7.228134,C,39,1186,-16824504.3,19816439.7,33207785.9,-7.17E-06
20,PC40,-24500.82933,32836.43254,-10541.75787,-57.144151,C,40,1186,-24500824.3,32836434.5,-10541756.8,-5.71E-05
20,PC41,14249.32148,-23884.34926,2257.117183,-892.856661,C,41,1186,14249318.4,-23884350.2,2257117.19,-0.000892868
20,PC42,12655.60768,9518.2198,23026.52322,-453.217826,C,42,1186,12655608.6,9518218.24,23026522.4,-0.000453242
20,PC43,27448.19153,-4070.992137,3083.625163,60.937231,C,43,1186,27448190,-4070995.25,3083624.42,6.10E-05
20,PC44,6222.115549,15484.17943,-22384.5613,388.656948,C,44,1186,6222116.72,15484178,-22384560.5,0.000388693
20,PC45,-7257.568544,16785.10168,21062.10969,-71.023856,C,45,1186,-7257565.88,16785101.7,21062109,-7.09E-05
20,PC46,-19109.02113,-18159.43928,9204.559323,-125.018068,C,46,1186,-19109022.2,-18159436.5,9204558.88,-0.000124945
25,PC06,-7788.008245,23391.07037,34248.66135,119.198521,C,6,1486,-7788004.59,23391070.9,34248660.4,0.000119273
25,PC07,-16655.99239,37221.28778,-11030.63023,-824.016075,C,7,1486,-16655989.1,37221288.5,-11030629.4,-0.000823931
25,PC08,-1194.06228,36544.19814,-20797.56298,27.4664,C,8,1486,-1194059.07,36544196.9,-20797563.1,2.75E-05
25,PC09,2006.412497,25963.11383,33705.3357,-509.116638,C,9,1486,2006416.2,25963112.4,33705335.5,-0.000509023
25,PC10,-10634.36887,37445.21946,-16530.99964,79.292167,C,10,1486,-10634365.9,37445219.7,-16530998.8,7.93E-05
25,PC11,27253.74161,2823.169149,-5213.858732,417.804942,C,11,1486,27253740.1,2823167.39,-5213861.29,0.000417878
25,PC12,14548.87788,12822.99801,-20028.19902,766.600259,C,12,1486,14548874.8,12822997.3,-20028201.4,0.000766663
25,PC13,4747.316058,39629.36599,-12965.23875,418.518616,C,13,1486,4747320.13,39629364.1,-12965239.2,0.000418565
25,PC14,16829.54081,143.191897,22266.1058,221.480685,C,14,1486,16829540.3,143188.791,22266104.6,0.000221541
25,PC16,-10438.15546,22082.83609,34614.85853,-347.981254,C,16,1486,-10438151.8,22082836.4,34614858,-0.000347912
25,PC19,-18707.76936,10204.32065,-18002.62838,-925.609131,C,19,1486,-18707767.2,10204322,-18002627.9,-0.00092555
25,PC20,-13172.07466,-8493.67052,-23072.93195,-176.411459,C,20,1486,-13172074.7,-8493669.03,-23072930.9,-0.00017635
25,PC21,-956.626526,23814.1435,14556.40483,-961.948839,C,21,1486,-956623.389,23814142.7,14556403.9,-0.000961888
25,PC22,-13870.43978,24122.49513,-2298.465036,-104.680062,C,22,1486,-13870436.1,24122495.7,-2298465.2,-0.000104614
25,PC23,7879.135909,-16118.13858,-21381.14065,-780.289598,C,23,1486,7879133.88,-16118138.6,-21381139.7,-0.000780208
25,PC24,19050.208,18937.53013,-7538.169318,897.284581,C,24,1486,19050209.5,18937527,-7538168.59,0.000897335
25,PC25,18810.47716,1046.949329,-20595.14419,329.505181,C,25,1486,18810476.5,1046947.36,-20595143.4,0.000329544
25,PC26,8970.034668,24695.09701,9332.0028,-251.211131,C,26,1486,8970037.28,24695094.9,9332002.73,-0.000251178
25,PC27,-5000.128259,-15567.60937,22593.88856,273.120312,C,27,1486,-5000129.4,-15567608.1,22593887.7,0.000273154
25,PC28,14000.23744,-14330.61919,19433.20191,207.832497,C,28,1486,14000235.3,-14330620.3,19433201.1,0.000207863
25,PC29,-27337.40464,4664.407804,-3086.126325,243.618702,C,29,1486,-27337402.9,4664410.63,-3086125.63,0.000243658
25,PC30,-22403.10868,-8173.823712,14465.04676,-26.964429,C,30,1486,-22403108.4,-8173820.77,14465046.6,-2.69E-05
25,PC32,841.357689,-23841.56251,-14447.67033,-569.774474,C,32,1486,841355.023,-23841561.7,-14447669.5,-0.000569749
25,PC33,18659.05142,-10157.10842,18092.74263,-949.921925,C,33,1486,18659049.6,-10157110.1,18092741.8,-0.000949973
25,PC34,23466.90045,7296.034068,-13257.94866,372.32952,C,34,1486,23466900,7296031.11,-13257948.7,0.000372357
25,PC35,-13517.84817,14893.10469,-19339.17115,430.355084,C,35,1486,-13517846.6,14893105.6,-19339169.9,0.000430389
25,PC36,-18963.8229,-2013.130709,20390.20868,-10.060378,C,36,1486,-18963822.2,-2013128.73,20390208,-1.01E-05
25,PC37,-8074.045283,-24888.78497,-9736.316759,-937.309093,C,37,1486,-8074047.67,-24888783,-9736316.54,-0.000937301
